"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","<U+0001F440> Google Summer of Code applications are open!

This is a 10 week paid program for students to gain experience with… https://t.co/wZQ2fNz1td",FALSE,198,NA,2021-03-29,TRUE,NA,"1376565275953348609",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",77,FALSE,FALSE,NA,NA
"19","<U+0001F389> Save the date for our 5th #MadeWithTFJS Show &amp; Tell livestream on Fri Apr 2nd at 9AM PT!

From cats <U+0001F408> to adversar… https://t.co/nbGCVR5TPe",FALSE,125,NA,2021-03-26,TRUE,NA,"1375477715793543171",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",35,FALSE,FALSE,NA,NA
"20","MuRIL is a BERT model pre-trained on 17 Indian languages and their transliterated counterparts. These languages hav… https://t.co/5olFOP66TP",FALSE,148,NA,2021-03-25,TRUE,NA,"1375178218077097990",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",27,FALSE,FALSE,NA,NA
"21","<U+0001F9B8><U+200D><U+2640><U+FE0F><U+0001F5BC><U+FE0F> Interested in super resolution? 

Learn how to train your own model with Keras and TensorFlow here <U+2192>… https://t.co/BIeMvNH3wm",FALSE,493,NA,2021-03-24,TRUE,NA,"1374767986209390594",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",98,FALSE,FALSE,NA,NA
"22","<U+0001F4C5> What's on this week's schedule for #TFEverywhere2021...

3/27 Xiamen
3/28 Beijing 
3/28 GDG Islamabad
3/28 Philip… https://t.co/itRBiHeJKL",FALSE,107,NA,2021-03-22,TRUE,NA,"1374032018514702339",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",15,FALSE,FALSE,NA,NA
"23","@Neilzblaze007 @RyanRogersIn1 Hi there. Anyone is welcome to share their projects to the program for the chance to… https://t.co/CEr3BqKiMU",FALSE,3,"Neilzblaze007",2021-03-19,TRUE,"1373035241883897860","1373038781670957057","1054757514833612800","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",0,FALSE,FALSE,NA,NA
"24","We started the #TFCommunitySpotlight program to offer developers a chance to showcase their TensorFlow projects and… https://t.co/4ydhb8a2iU",FALSE,97,NA,2021-03-19,TRUE,NA,"1372986764340523010",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",20,FALSE,FALSE,NA,NA
"25","<U+26A1><U+FE0F> Wish TensorBoard would load your data 100–400× faster? 

Try the experimental --load_fast=true flag in our lates… https://t.co/O74FxvJXlp",FALSE,260,NA,2021-03-18,TRUE,NA,"1372654563795292161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",59,FALSE,FALSE,NA,NA
"26","<U+26A1> It's been a year since we released TensorFlow Quantum. In this post, we’ll take a look back at the results, paper… https://t.co/iJ0Aoqz9iT",FALSE,253,NA,2021-03-18,TRUE,NA,"1372618883585216514",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",69,FALSE,FALSE,NA,NA
"27","<U+0001F389>One year anniversary of the #TensorFlow Certificate program! We are proud to announce that 2500+ developers passed… https://t.co/e3oFx6aYzz",FALSE,296,NA,2021-03-11,TRUE,NA,"1370088033677045761",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",56,FALSE,FALSE,NA,NA
"28","Next couple weeks for #TFEverywhere2021...

<U+26A1> 3/12 Sydney 
<U+26A1> 3/13 Turkey 
<U+26A1> 3/14 Vietnam 
<U+26A1> 3/19 Japan
<U+26A1> 3/20 Dalia… https://t.co/RpdxRSYvXl",FALSE,66,NA,2021-03-11,TRUE,NA,"1370057953038856194",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",10,FALSE,FALSE,NA,NA
"29","Check out the MultiModal Versatile Networks for embedding video <U+0001F4FA>, audio <U+0001F3A7>, and text <U+0001F4DD> data available on #TFHub fro… https://t.co/KwKtbtvz7l",FALSE,143,NA,2021-03-10,TRUE,NA,"1369698264358981641",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",29,FALSE,FALSE,NA,NA
"30","<U+0001F393> There's a new #TFX course on @coursera! 
 
Learn how TensorFlow Extended (TFX) on @googlecloud accelerates your… https://t.co/LnMjrprzGg",FALSE,311,NA,2021-03-09,TRUE,NA,"1369377456000557058",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",84,FALSE,FALSE,NA,NA
"31","<U+0001F31F> “Be proud of your history”

@biancaxis was able to combine her professional background and  passion for AI, Produ… https://t.co/xv8DMpgqLq",FALSE,85,NA,2021-03-08,TRUE,NA,"1369045264078606339",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",14,FALSE,FALSE,NA,NA
"32","As an accomplished Senior Manager of Data Sciences, @sharmichat82 is motivated to give back to the community by men… https://t.co/crKfpqq4hC",FALSE,65,NA,2021-03-08,TRUE,NA,"1369022446221856769",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",12,FALSE,FALSE,NA,NA
"33","@WomenTechmakers Happy International Women's Day <U+0001F9E1> 

If you're working with machine learning and #TensorFlow techno… https://t.co/VPDkAiSFMd",FALSE,48,"WomenTechmakers",2021-03-08,TRUE,"1368924473206964225","1368988920386494466","2362618909","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",7,FALSE,FALSE,NA,NA
"34","<U+2728>We're kicking off a number of tech talks from a ML speaker series we recorded at home! <U+0001F4F9>

In our first episode,… https://t.co/iAqEzCotSE",FALSE,173,NA,2021-03-04,TRUE,NA,"1367527747606769670",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",44,FALSE,FALSE,NA,NA
"35","<U+270D> Let's take a tour of SavedModel signatures

In this blog, you'll learn how graphs and models are stored in SavedM… https://t.co/MG9eOIoThx",FALSE,98,NA,2021-03-03,TRUE,NA,"1367173734050656256",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",34,FALSE,FALSE,NA,NA
"36","<U+0001F436><U+0001F431> Detect dogs and cats sounds in your neighborhood! 

Learn how to use transfer learning for audio classification… https://t.co/gZYKdCoK8f",FALSE,499,NA,2021-03-02,TRUE,NA,"1366812277681254401",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",129,FALSE,FALSE,NA,NA
"37","<U+0001F44B>  Xin chào các b<U+1EA1>n!

When our YouTube channel launched, we had a vision to inspire developers around the world, wh… https://t.co/7apwWnDvPF",FALSE,73,NA,2021-03-01,TRUE,NA,"1366448700625620994",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",11,FALSE,FALSE,NA,NA
"38","<U+0001F389>TensorFlow Everywhere is on the move! This week we’re headed to...

<U+0001F1F9><U+0001F1FC> Taipei on 3/2
<U+0001F1E8><U+0001F1F3> Shanghai on 3/6
<U+0001F1E6><U+0001F1FF> Azerbai… https://t.co/yDEbeGcJnN",FALSE,99,NA,2021-02-26,TRUE,NA,"1365360377152884737",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",18,FALSE,FALSE,NA,NA
"39","<U+0001F5A5><U+FE0F> Convert a Python model to run in the web browser via TensorFlow.js!

Reach a wider audience with the simplicity… https://t.co/4KNG5zIkaz",FALSE,436,NA,2021-02-24,TRUE,NA,"1364651320779677697",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",96,FALSE,FALSE,NA,NA
"40","Set a reminder! #TFEverywhere2021 is headed to North America and Asia Pacific. 

Coming up this week...
<U+0001F1FA><U+0001F1F8>  North A… https://t.co/YZFFX0WT5L",FALSE,65,NA,2021-02-23,TRUE,NA,"1364258724903329793",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",23,FALSE,FALSE,NA,NA
"41","<U+0001F4E3><U+26A1><U+FE0F> North America friends!

Join us at the very first #TFEverywhere2021 North America Summit on Feb 26-27 for an in… https://t.co/O8FnWn7A9P",FALSE,71,NA,2021-02-22,TRUE,NA,"1363932270931812354",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",17,FALSE,FALSE,NA,NA
"42","Got an idea for an AI hardware project?

<U+0001F44B> <U+0001F916> Get started with Alto!

A little teachable object using the Coral USB… https://t.co/UmwdrBu10A",FALSE,161,NA,2021-02-22,TRUE,NA,"1363896390108278787",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",61,FALSE,FALSE,NA,NA
"43","<U+0001F4BD> Reduce your storage requirements and eliminate unnecessary silent computations containing zero values with sparse… https://t.co/idrRVvmgc3",FALSE,194,NA,2021-02-19,TRUE,NA,"1362854470430908416",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",39,FALSE,FALSE,NA,NA
"44","<U+2709><U+FE0F> RSVP for TensorFlow Everywhere!

Join TensorFlow and machine learning communities around the world for… https://t.co/AgbFqjudWi",FALSE,151,NA,2021-02-19,TRUE,NA,"1362811505360650241",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",53,FALSE,FALSE,NA,NA
"45","Light up your photos with MIRNet <U+0001F4A1><U+0001F5BC><U+FE0F>

@RisingSayak published a model on #TFHub to enhance low-light images!

Try it… https://t.co/dmo3apcZYn",FALSE,144,NA,2021-02-18,TRUE,NA,"1362446701915701253",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",33,FALSE,FALSE,NA,NA
"46","<U+0001F6E0> Learn how to estimate Bayesian credible intervals using Variational Inference in TensorFlow Probability.
 
Right… https://t.co/4ZOSesUIMX",FALSE,218,NA,2021-02-17,TRUE,NA,"1362085501495255041",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",47,FALSE,FALSE,NA,NA
"47","Coming up this week for #TFEverywhere2021...

<U+26A1><U+FE0F>2/17: GDG Cloud Emirates 
<U+26A1><U+FE0F>2/18: TensorFlow and Deep Learning Sing… https://t.co/f6ATfxwO4k",FALSE,91,NA,2021-02-16,TRUE,NA,"1361766542741020676",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",20,FALSE,FALSE,NA,NA
"48","<U+0001F4AC> By leveraging TensorFlow Extended, @OpenX has been able to train ML models for serving millions of queries per se… https://t.co/tILqpE8I9A",FALSE,178,NA,2021-02-15,TRUE,NA,"1361369002321137664",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",37,FALSE,FALSE,NA,NA
"49","We are committed to advancing opportunities among our Black+ developer community. Eligible developers can now reque… https://t.co/vESVRnvp8z",FALSE,164,NA,2021-02-12,TRUE,NA,"1360290168029081600",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",29,FALSE,FALSE,NA,NA
"50","<U+0001F3C3><U+200D><U+2640><U+FE0F><U+26A1><U+FE0F> TensorFlow runs faster than ever on Arm Cortex-M MCUs.

Arm has worked closely with the TensorFlow team to d… https://t.co/1Duk4EbcRd",FALSE,295,NA,2021-02-10,TRUE,NA,"1359564641991548928",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",92,FALSE,FALSE,NA,NA
"51","<U+0001F469><U+200D><U+0001F4BB><U+0001F30E> Get ready for #TFEverywhere2021! 

Learn more about our upcoming series of global events led by TensorFlow and… https://t.co/ztpsiLjl8b",FALSE,138,NA,2021-02-09,TRUE,NA,"1359203951363653632",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",41,FALSE,FALSE,NA,NA
"52","<U+0001F680><U+26A1><U+FE0F> TensorFlow Everywhere is ready for take-off!

With over 20 locations and 9 languages, join us for… https://t.co/g0GX3FL5W1",FALSE,384,NA,2021-02-08,TRUE,NA,"1358855322153189378",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",121,FALSE,FALSE,NA,NA
"53","<U+0001F3C5> #TFCommunitySpotlight Winner: István Sárándi <U+0001F3C5>

István created a computer vision algorithm that takes a single RG… https://t.co/3Wo5rSS8Wz",FALSE,523,NA,2021-02-02,TRUE,NA,"1356664691066499072",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",106,FALSE,FALSE,NA,NA
"54","<U+0001F5A5> Integrate TensorRT in TensorFlow 2x

TF-TRT leverages TensorFlow's flexibility while also taking advantage of the… https://t.co/8O3GfoXTCJ",FALSE,191,NA,2021-01-28,TRUE,NA,"1354882340606988288",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",63,FALSE,FALSE,NA,NA
"55","<U+0001F973><U+FE0F>Happy #DataPrivacyDay!

Learn how we're improving the state of privacy in Machine Learning by expanding the Tenso… https://t.co/EzssFsgsyk",FALSE,114,NA,2021-01-28,TRUE,NA,"1354857755538939904",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",31,FALSE,FALSE,NA,NA
"56","<U+0001F514> TensorFlow 2.4.1 has been released!

This release removes the AVX2 requirement from TF 2.4.0.

Details <U+2193> https://t.co/cuPxY3nmvf",FALSE,256,NA,2021-01-26,FALSE,NA,"1354202468415008770",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",56,FALSE,FALSE,NA,NA
"57","<U+0001F4F1><U+0001F300> Custom hardware powered by Tensorflow.js!

Join @jason_mayes and @paulrjessop to learn how he built a robotic de… https://t.co/VoqNVuT4Du",FALSE,194,NA,2021-01-26,TRUE,NA,"1354119349775327233",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",40,FALSE,FALSE,NA,NA
"58","<U+0001F31F> The first release (0.1) of TFLite Support!

Check out this toolkit that makes deploying TFLite models on mobile d… https://t.co/oQz26OjDnD",FALSE,336,NA,2021-01-25,TRUE,NA,"1353764579034222593",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",93,FALSE,FALSE,NA,NA
"59","<U+0001F50D> Learn how to train a custom object detection model in Python and then use it in a browser with TensorFlow.js in t… https://t.co/sXijLSSQ16",FALSE,433,NA,2021-01-22,TRUE,NA,"1352677286437380100",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",105,FALSE,FALSE,NA,NA
"60","<U+0001F31F> @Raspberry_Pi introduced their first microcontroller, the Raspberry Pi Pico! We'll be releasing a port of TensorF… https://t.co/0bEMZRF9MD",FALSE,999,NA,2021-01-21,TRUE,NA,"1352363336877416453",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",260,FALSE,FALSE,NA,NA
"61","<U+0001F3C5>#TFCommunitySpotlight Winners: Margaret Maynard-Reid, Sayak Paul, George Soloupis<U+0001F3C5>

This team created a project th… https://t.co/h3MIk3g8aA",FALSE,161,NA,2021-01-19,TRUE,NA,"1351590466068783105",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",27,FALSE,FALSE,NA,NA
"62","<U+26A1> Accelerating AI Performance with Intel oneDNN. 

Learn how TensorFlow uses oneDNN to fully leverage new Intel CPU… https://t.co/1a7KqHX8rl",FALSE,107,NA,2021-01-13,TRUE,NA,"1349447323575869443",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",28,FALSE,FALSE,NA,NA
"63","<U+0001F5BC> Art imitates life

@jason_mayes is joined by @emilyxxie to learn how she brought the Mona Lisa painting to life u… https://t.co/t7aLRSSHLx",FALSE,301,NA,2021-01-12,TRUE,NA,"1349046012086804481",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",61,FALSE,FALSE,NA,NA
"64","Due to a number of vulnerabilities, we have released patches for TensorFlow on all versions from 1.15 to 2.3 inclus… https://t.co/PoVFLDoR1x",FALSE,235,NA,2021-01-11,TRUE,NA,"1348722156603985920",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",66,FALSE,FALSE,NA,NA
"65","<U+0001F3C5>#TFCommunitySpotlight Winner: Vivien Tran-Thien<U+0001F3C5>

Vivien created this demo to simulate 3D perception through motio… https://t.co/HchJLPniYu",FALSE,130,NA,2021-01-08,TRUE,NA,"1347679140468543491",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",23,FALSE,FALSE,NA,NA
"66","<U+0001F4C1> Track where your models came from with ML Metadata

ML Metadata is a library for TensorFlow and other ML framewor… https://t.co/5Afd3AveF0",FALSE,248,NA,2021-01-08,TRUE,NA,"1347605660913999873",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",58,FALSE,FALSE,NA,NA
"67","<U+0001F5A5><U+0001F5A5> Learn how to scale up model training on multiple machines.

Tune into the latest episode of #InsideTensorFlow to… https://t.co/VfWgC4Fij8",FALSE,125,NA,2021-01-07,TRUE,NA,"1347256694376685568",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",29,FALSE,FALSE,NA,NA
"68","<U+0001F579> Hacking human computer interaction!

Join @jason_mayes in #MadewithTFJS as he speaks with @potatoandy to learn ab… https://t.co/JUCF8wPAMl",FALSE,124,NA,2021-01-05,TRUE,NA,"1346524412347092996",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",25,FALSE,FALSE,NA,NA
"69","<U+0001F3AD> Customizable AR face masks! 

In the latest episode of #MadewithTFJS, @jason_mayes is joined by Samarth and Prave… https://t.co/AUUDaU7UnK",FALSE,201,NA,2020-12-29,TRUE,NA,"1343978498294046726",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",40,FALSE,FALSE,NA,NA
"70","<U+0001F3C5> #TFCommunitySpotlight Winner: Juan Carlos Piñeros <U+0001F3C5>

Komposair helps musicians create melodies based on their mot… https://t.co/ygHMQnoQuU",FALSE,209,NA,2020-12-23,TRUE,NA,"1341808826471776256",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",49,FALSE,FALSE,NA,NA
"71","<U+0001F9E9> The Real-time AR Sudoku Solver.

See how developer Chris Greening built an augmented reality web app to solve Sud… https://t.co/7Vu13U1Mqd",FALSE,606,NA,2020-12-22,TRUE,NA,"1341474891854467080",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",147,FALSE,FALSE,NA,NA
"72","<U+0001F389> Join the TensorFlow Special Interest Groups!

TensorFlow SIGs (Special Interest Groups) organize and maintain key… https://t.co/tVYanAyHcT",FALSE,136,NA,2020-12-22,TRUE,NA,"1341444531967954949",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",24,FALSE,FALSE,NA,NA
"73","<U+0001F6AB> Get rid of toxic messages with ML

@InSpaceEdu is a new video conference platform designed by educators, for educ… https://t.co/gd8KpVJdPb",FALSE,94,NA,2020-12-21,TRUE,NA,"1341083102370803714",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",14,FALSE,FALSE,NA,NA
"74","<U+0001F4F8> Take your image resolution to the next level

In this tutorial we are going to teach you how to build an Android… https://t.co/gzqQLSHnCy",FALSE,292,NA,2020-12-18,TRUE,NA,"1339994996594892801",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",69,FALSE,FALSE,NA,NA
"75","<U+0001F44B> Meet the machine learning experts from @GoogleDevExpert!

With over 150 TensorFlow Experts all over the world, le… https://t.co/zZTWR5Ryb6",FALSE,91,NA,2020-12-16,TRUE,NA,"1339306788131381251",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",36,FALSE,FALSE,NA,NA
"76","<U+0001F4AA> Building a stronger developer community.

Back in September, 13 user groups came together for the TensorFlow User… https://t.co/SSsRHuHX7n",FALSE,73,NA,2020-11-23,TRUE,NA,"1330920982039564289",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",11,FALSE,FALSE,NA,NA
